,name,genre_name,number_of_episodes,popularity,vote_average,vote_count,overview,creator_names,poster_path
0,Star Wars: Droids,"Kids, Animation, Action & Adventure, Sci-Fi & Fantasy",13,11.592,5.2,66,An animated television series that features the exploits of R2-D2 and C-3PO. The series takes place between the events depicted in Star Wars Episode III: Revenge of the Sith and Star Wars Episode IV: A New Hope.,"['George Lucas', 'Ben Burtt', 'Clive A. Smith', 'Raymond Jafelice']",/b3gsZSTauRBJDJvWCbD9oVAsFe1.jpg
1,"Mary Hartman, Mary Hartman","Drama, Soap, Comedy",307,14.367,6.2,8,"In the fictional town of Fernwood, Ohio, suburban housewife Mary Hartman seeks the kind of domestic perfection promised by Reader’s Digest and TV commercials. Instead she finds herself suffering the slings and arrows of outrageous fortune: mass murders, low-flying airplanes and waxy yellow buildup on her kitchen floor.","['Gail Parent', 'Norman Lear', 'Ann Marcus', 'Jerry Adelman', 'Daniel Gregory Browne']",/O1bcYEBW8v7JOMNVpYOBTL6PjL.jpg
2,North of 60,Drama,95,5.742,5.6,42,"North of 60 is a mid-1990s Canadian television series depicting life in the sub-Arctic northern boreal forest. It first aired on CBC Television in 1992 and was syndicated around the world. It is set in the fictional community of Lynx River, a primarily Native-run town depicted as being in the Dehcho Region, Northwest Territories. Most of the characters were Dene. Some non-native characters had important roles: the restaurant/motel owner, the band manager, the nurse and the town's main RCMP officer. The show explored themes of Native poverty, alcoholism, cultural preservation and conflict over land settlements and natural resource exploitation. Originally somewhat light-hearted, it quickly became a more dramatic and ponderous series.",,/twsoO8NCTitfW4My9wKz2p5yJou.jpg
3,The Job,"Drama, Comedy",19,6.335,6.4,53,"Mike McNeil is a decorated New York City detective whose toughest assignment is himself. He's struggling to balance a challenging personal life with a job that leaves him wondering on a daily basis if he is the last sane person in New York. His unconventional approach to his job makes him a great cop, even on the most trying days. The only thing he can't figure out is why, if he's the only sane guy around, everyone's always looking at him like he's crazy.","['Denis Leary', 'Peter Tolan']",/iDiiIBZCjdihpBoDKzVRhb7C9B.jpg
4,This Hour Has 22 Minutes,"News, Comedy",386,15.032,6.63,46,"This Hour Has 22 Minutes is a weekly Canadian television comedy that airs on CBC Television. Launched in 1993 during Canada's 35th general election, the show focuses on Canadian politics, combining news parody, sketch comedy and satirical editorials. Originally featuring Cathy Jones, Rick Mercer, Greg Thomey and Mary Walsh, the series featured satirical sketches of the weekly news and Canadian political events. The show's format is a mock news program, intercut with comic sketches, parody commercials and humorous interviews of public figures. The on-location segments are frequently filmed with slanted camera angles.

Its full name is a parody of This Hour Has Seven Days, a CBC newsmagazine from the 1960s; the ""22 Minutes"" refers to the fact that a half-hour television program in Canada and the U.S. is typically 22 minutes long with eight minutes of commercials.

Jones and Walsh had previously worked together on the sketch comedy series CODCO, on which Thomey sometimes appeared as a guest. Mercer had been a notable young writer and performer on his own, touring several successful one-man shows of comedic political commentary.","['Mary Walsh', 'Rick Mercer']",/7sP1tv9e2wZzdOATVZxtZN3DUbi.jpg
5,Ever Decreasing Circles,Comedy,26,2.568,7.231,13,"Martin Bryce lives in a quiet suburban close with his wife Anne. He does his best to ""organise"" the leisure time of all of the other inhabitants of the close, running umpteen societies and doing ""good works"". He's is quite happy with his lot until Paul Ryman moves in next door.",['Esmonde and Larbey'],/uiqsdY2sEGLxLyU8YnPEuLIvIq0.jpg
6,In the House,,76,6.889,7.3,10,In the House is an American sitcom,"['Quincy Jones', 'Winifred Hervey']",/i207RSpEkIqyV5hU7xRAM8doygg.jpg
7,Cracker,"Crime, Drama",23,17.848,6.307,83,The wise-cracking Fitz is a brilliant but flawed criminal psychologist with a remarkable insight into the criminal mind.,['Jimmy McGovern'],/6TafPjjdnquokIOxHywBtUvI5DS.jpg
8,Adventures of Sonic the Hedgehog,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy",65,12.718,6.5,81,"Follow the adventures of Sonic the Hedgehog, and his sidekick Tails, as they attempt to stop Dr. Robotnik and his array of robots from taking over the planet Mobius.","['Phil Harnage', 'Kent Butterworth', 'Bruce Shelly', 'Reed Shelly']",/wMDixjRrrWtuOWf2La4Vb4a5QKw.jpg
9,That '70s Show,"Comedy, Family, Drama",200,79.578,7.977,1181,"Crank up the 8-track and flash back to a time when platform shoes and puka shells were all the rage in this hilarious retro-sitcom. For Eric, Kelso, Jackie, Hyde, Donna and Fez, a group of high school teens who spend most of their time hanging out in Eric’s basement, life in the ‘70s isn’t always so groovy. But between trying to figure out the meaning of life, avoiding their parents, and dealing with out-of-control hormones, they’ve learned one thing for sure: they’ll always get by with a little help from their friends.","['Bonnie Turner', 'Terry Turner', 'Mark Brazill']",/laEZvTqM80UaplUaDSCCbWhlyEV.jpg
